id,name,unit,node
1,Current 1,A,1
2,Current 2,A,2
3,Current 3,A,3
401,DI 1,,
402,DI 2,,
201,Temperature 1,&deg;,
203,Temperature 2,&deg;,
901,PV Voltage,V,
902,PV Current,A,
903,Battery Current,A,
904,Battery Current,A,
905,RTS Temperature,&deg;,
906,Charging State,,
907,Ah Charge Total,Ah,
908,kWhr Charge Total,KWhr,
909,Input Power,Watt,
910,Input Power,Watt,
911,Low Battery Voltage Threshold,V,
921,PV Voltage,V,
922,PV Current,A,
923,Battery Current,A,
924,Battery Current,A,
925,RTS Temperature,&deg;,
926,Charging State,,
927,Ah Charge Total,Ah,
928,kWhr Charge Total,KWhr,
929,Input Power,Watt,
930,Input Power,Watt,
931,Low Battery Voltage Threshold,V,
